Symbol	Description
HKDKRW	Hong Kong Dollar / Korean Won
HKDMXN	Hong Kong Dollar / Mexican Peso
HKDMYR	Hong Kong Dollar / Malaysian Ringgit
HKDNZD	Hong Kong Dollar / New Zealand Dollar
HKDPKR	Hong Kong Dollar / Pakistan Rupee
HKDPLN	Hong Kong Dollar / Polish Zloty
HKDSEK	Hong Kong Dollar / Swedish Krona
HKDSGD	Hong Kong Dollar / Singapore Dollar
HKDTHB	Hong Kong Dollar / Thai Baht
HKDTWD	Hong Kong Dollar / New Taiwan Dollar
HKDUSD	Hong Kong Dollar / US Dollar
HKDZAR	Hong Kong Dollar / South African Rand
HNLGBP	Honduran Lempira / Pound Sterling
HRKEUR	Croatian kuna / Euro Dollar
HRKPLN	Croatian kuna / Polish Zloty
HRKUSD	Croatian kuna / US Dollar
HTGGBP	Gourde / Pound Sterling
HUFCHF	Hungarian Forint / Swiss Franc
HUFDKK	Hungarian Forint / Danish Krone
HUFEUR	Hungarian Forint / Euro Dollar
HUFPLN	Hungarian Forint / Polish Zloty
HUFUSD	Hungarian Forint / US Dollar
IDRAUD	Indonesia Rupiah / Australian Dollar
IDRCAD	Indonesia Rupiah / Canadian Dollar
IDRCHF	Indonesia Rupiah / Swiss Franc
IDRCNY	Indonesia Rupiah / Yuan Renminbi
IDREUR	Indonesia Rupiah / Euro Dollar
IDRGBP	Indonesia Rupiah / Pound Sterling
IDRHKD	Indonesia Rupiah / Hong Kong Dollar
IDRINR	Indonesia Rupiah / Indian Rupee
IDRJPY	Indonesia Rupiah / Japanese Yen
IDRKRW	Indonesia Rupiah / Korean Won
IDRMYR	Indonesia Rupiah / Malaysian Ringgit
IDRNZD	Indonesia Rupiah / New Zealand Dollar
IDRSGD	Indonesia Rupiah / Singapore Dollar
IDRTHB	Indonesia Rupiah / Thai Baht
IDRTWD	Indonesia Rupiah / New Taiwan Dollar
IDRUSD	Indonesia Rupiah / US Dollar
IDRZAR	Indonesia Rupiah / South African Rand
ILSAUD	New Israeli Sheqel / Australian Dollar
ILSCAD	New Israeli Sheqel / Canadian Dollar
ILSCHF	New Israeli Sheqel / Swiss Franc
ILSJOD	New Israeli Sheqel / Jordanian Dinar
ILSJPY	New Israeli Sheqel / Japanese Yen
